iteration,state,num_high_quality,high_quality_percent
0,0.5030490874805184,71.91,35.955
100,0.5220713720102692,69.62,34.81
200,0.5380955033171825,68.37,34.185
300,0.5515315469596322,67.56,33.78
400,0.5632000672429284,67.34,33.67
500,0.5733572414735293,67.28,33.64
600,0.5822539446755094,67.32,33.66
700,0.5900994520330528,67.39,33.695
800,0.5971748515177309,67.59,33.795
900,0.6034986949610516,67.69,33.845
1000,0.6092678957970168,67.94,33.97
1100,0.6145665100337543,68.22,34.11
1200,0.6194873027780571,68.6,34.3
1300,0.6240083135227442,68.99,34.495
1400,0.6283351739996212,69.34,34.67
1500,0.6322629106952763,69.62,34.81
1600,0.6360543191206305,69.95,34.975
1700,0.6395872372200705,70.27,35.135
1800,0.6429468594126326,70.66,35.33
1900,0.6461851607902451,71.05,35.525
2000,0.6492725119993678,71.34,35.67
2100,0.6521966533509351,71.61,35.805
2200,0.6549379890410125,71.99,35.995
2300,0.6577037884291596,72.4,36.2
2400,0.6603322020075966,72.57,36.285
2500,0.6628716399580182,72.92,36.46
2600,0.6653047547698643,73.27,36.635
2700,0.6676809031290989,73.79,36.895
2800,0.6699210748075011,74.05,37.025
2900,0.6720909411156257,74.42,37.21
3000,0.6741725963110601,74.69,37.345
3100,0.6761822224597419,75.03,37.515
3200,0.6781642804767862,75.36,37.68
3300,0.680095562716816,75.76,37.88
3400,0.6819556548482286,76.23,38.115
3500,0.6838025490036488,76.69,38.345
3600,0.6855795323677987,77.02,38.51
3700,0.6873167691588732,77.38,38.69
3800,0.6890079775996644,77.66,38.83
3900,0.6906154496403412,77.97,38.985
4000,0.6922204238018861,78.43,39.215
4100,0.6938105318124664,78.84,39.42
4200,0.6953530072988927,79.2,39.6
4300,0.696861724974959,79.55,39.775
4400,0.6983389845800683,79.82,39.91
4500,0.6997494301666327,80.26,40.13
4600,0.7011560882298508,80.58,40.29
4700,0.7025380415200977,80.9,40.45
4800,0.7038924658387381,81.32,40.66
4900,0.7052144819573652,81.58,40.79
5000,0.7065021483874969,81.96,40.98
5100,0.7077320764010817,82.3,41.15
5200,0.7089759805149422,82.51,41.255
5300,0.7101885057088383,82.76,41.38
5400,0.7113796989588608,82.99,41.495
5500,0.7125465162590402,83.25,41.625
5600,0.7137077174243561,83.58,41.79
5700,0.7148291494943997,83.91,41.955
5800,0.7159438668103977,84.17,42.085
5900,0.7170578784075883,84.52,42.26
6000,0.7181274106509818,84.79,42.395
6100,0.7191717352141187,85.1,42.55
6200,0.7201928405187884,85.26,42.63
6300,0.7212212097650519,85.54,42.77
6400,0.7222267026876481,85.86,42.93
6500,0.7231920940701724,86.07,43.035
6600,0.7241700319791562,86.44,43.22
6700,0.7251243337480687,86.72,43.36
6800,0.7260598279671764,86.94,43.47
6900,0.7269914529527051,87.2,43.6
7000,0.7279011251374834,87.66,43.83
7100,0.7288069625274989,87.89,43.945
7200,0.7296718338446566,88.2,44.1
7300,0.730544940769231,88.46,44.23
7400,0.7314213159690222,88.66,44.33
7500,0.7322725903112919,88.94,44.47
7600,0.7331273449793069,89.16,44.58
7700,0.7339611672050828,89.5,44.75
7800,0.7347805493636502,89.82,44.91
7900,0.7355866929343,90.05,45.025
8000,0.7363808482492312,90.28,45.14
8100,0.7371767896236586,90.57,45.285
8200,0.7379539876603445,90.84,45.42
8300,0.7387288098538798,91.13,45.565
8400,0.7394909906022202,91.32,45.66
8500,0.7402384796514396,91.49,45.745
8600,0.7409757384502026,91.61,45.805
8700,0.7417084962391058,91.84,45.92
8800,0.7424291560194728,92.14,46.07
8900,0.743128335923207,92.29,46.145
9000,0.743842006169351,92.57,46.285
9100,0.7445297183220444,92.78,46.39
9200,0.7452276378672634,93.04,46.52
9300,0.7459098112400663,93.27,46.635
9400,0.7465684707266946,93.56,46.78
9500,0.7472401533793865,93.74,46.87
9600,0.7478925710089487,93.86,46.93
9700,0.7485418713238207,94.07,47.035
9800,0.7491767969119203,94.26,47.13
9900,0.749803503704899,94.42,47.21
10000,0.7504258141442186,94.56,47.28
10100,0.7510316131285584,94.7,47.35
10200,0.7516340758431045,94.88,47.44
10300,0.752237295239701,95.07,47.535
10400,0.7528254709341481,95.3,47.65
10500,0.7534210063039537,95.46,47.73
10600,0.7540136610756554,95.69,47.845
10700,0.7545944961389828,95.87,47.935
10800,0.7551695783466309,96.08,48.04
10900,0.7557253914415935,96.3,48.15
11000,0.756290942773169,96.45,48.225
11100,0.7568365938740129,96.64,48.32
11200,0.7574005350229914,96.81,48.405
11300,0.7579536287328007,97.01,48.505
11400,0.758495714832645,97.21,48.605
11500,0.7590372155293013,97.32,48.66
11600,0.759566931042745,97.53,48.765
11700,0.760077532194148,97.77,48.885
11800,0.7605866493541424,97.91,48.955
11900,0.7610946075738232,98.1,49.05
12000,0.761602823690199,98.29,49.145
12100,0.7621091448220731,98.45,49.225
12200,0.7626085028700551,98.63,49.315
12300,0.7630865014779481,98.77,49.385
12400,0.7635890399658813,98.92,49.46
12500,0.7640785207608916,99.11,49.555
12600,0.7645577444243854,99.24,49.62
12700,0.765038925835562,99.36,49.68
12800,0.765512939105128,99.5,49.75
12900,0.7659813699441821,99.61,49.805
13000,0.7664506437394004,99.66,49.83
13100,0.7669094034339602,99.82,49.91
13200,0.7673692871653224,99.97,49.985
13300,0.7678216691743492,100.13,50.065
13400,0.7682598432773609,100.28,50.14
13500,0.768705369721738,100.47,50.235
13600,0.7691540973402617,100.59,50.295
13700,0.7696033450656136,100.73,50.365
13800,0.7700404884880854,100.9,50.45
13900,0.7704665064666275,101.04,50.52
