iteration,state,num_high_quality,high_quality_percent
0,0.5135716411526362,75.14,37.57
100,0.5334484559996456,72.25,36.125
200,0.5509331187746307,70.56,35.28
300,0.5657120761419767,69.96,34.98
400,0.578754605422002,69.43,34.715
500,0.589906858450228,69.47,34.735
600,0.5994684646209756,69.36,34.68
700,0.6083721901788023,69.35,34.675
800,0.6162751070395978,69.63,34.815
900,0.6233366900199298,69.94,34.97
1000,0.6299020005097704,70.3,35.15
1100,0.635900208125606,70.53,35.265
1200,0.6414029281724283,70.87,35.435
1300,0.6465009092323163,71.14,35.57
1400,0.6512205047696827,71.49,35.745
1500,0.6556930160480262,71.89,35.945
1600,0.660006892061494,72.33,36.165
1700,0.664055652573188,72.74,36.37
1800,0.6679262193283018,73.16,36.58
1900,0.67155614169968,73.61,36.805
2000,0.6750391269719721,74.06,37.03
2100,0.6783718570703615,74.42,37.21
2200,0.6815738928443215,74.78,37.39
2300,0.6846032008786206,75.19,37.595
2400,0.6875261394072427,75.63,37.815
2500,0.6903674025543777,76.05,38.025
2600,0.6931673786495657,76.43,38.215
2700,0.6958322966739067,76.85,38.425
2800,0.698423099578216,77.36,38.68
2900,0.7008926151297696,77.92,38.96
3000,0.7032629253576294,78.36,39.18
3100,0.7055759290391524,78.95,39.475
3200,0.7078051652707181,79.25,39.625
3300,0.7099935000459034,79.62,39.81
3400,0.7120804277005363,79.98,39.99
3500,0.7141448403198264,80.45,40.225
3600,0.7161942516942037,80.81,40.405
3700,0.718128429590366,81.14,40.57
3800,0.7200479902840577,81.6,40.8
3900,0.7219003821792233,82.0,41.0
4000,0.7236982979500217,82.39,41.195
4100,0.7255044474390269,82.73,41.365
4200,0.7272292492761507,83.07,41.535
4300,0.7289077848492097,83.45,41.725
4400,0.7305453021271062,83.94,41.97
4500,0.7321700440287241,84.47,42.235
4600,0.7337692073784562,84.8,42.4
4700,0.7353077161289936,85.06,42.53
4800,0.7368169903355712,85.42,42.71
4900,0.7382897496567693,85.88,42.94
5000,0.7397833711011745,86.28,43.14
5100,0.741192729096037,86.63,43.315
5200,0.7425732042311196,86.94,43.47
5300,0.7439553258653617,87.34,43.67
5400,0.745305406280916,87.63,43.815
5500,0.746619159232495,87.91,43.955
5600,0.7479094515734297,88.3,44.15
5700,0.7491624139251282,88.71,44.355
5800,0.7503891967221885,89.12,44.56
5900,0.7515823658025276,89.54,44.77
6000,0.7527863654304595,89.82,44.91
6100,0.7539870111557883,90.2,45.1
6200,0.7551489434148317,90.54,45.27
6300,0.7562759999549494,90.99,45.495
6400,0.7574173761138415,91.38,45.69
6500,0.7585198169620873,91.64,45.82
6600,0.7596100248286766,91.94,45.97
6700,0.7606791901866508,92.18,46.09
6800,0.7617356063752857,92.46,46.23
6900,0.7628110532474828,92.84,46.42
7000,0.7638548359613178,93.21,46.605
