iteration,state,num_high_quality,high_quality_percent
0,0.7221769720991184,134.94,67.47
100,0.7446972651815642,134.66,67.33
200,0.7611936516263643,134.49,67.245
300,0.7730882857941498,134.62,67.31
400,0.7821978465847451,134.88,67.44
500,0.7891171783754102,135.08,67.54
600,0.7951455859529298,135.24,67.62
700,0.8003636552221437,135.67,67.835
800,0.8044613553303129,135.97,67.985
900,0.8081875135021727,136.51,68.255
1000,0.8114019776322797,137.04,68.52
1100,0.8141661474740947,137.44,68.72
1200,0.8167607553401282,137.83,68.915
1300,0.81921423012181,138.35,69.175
1400,0.8215237472748028,138.87,69.435
1500,0.8236223612085999,139.37,69.685
1600,0.8255941859479097,139.92,69.96
1700,0.8275213618108842,140.5,70.25
1800,0.829170296674802,140.9,70.45
1900,0.8307820029938222,141.27,70.635
2000,0.83233740254036,141.54,70.77
2100,0.8337465422622892,142.01,71.005
2200,0.8351117449162726,142.45,71.225
2300,0.8363636479203272,142.8,71.4
2400,0.8375792095915853,143.18,71.59
2500,0.8387546151765538,143.55,71.775
2600,0.8399034554451454,143.91,71.955
2700,0.8409523951690275,144.19,72.095
2800,0.8420059478867503,144.58,72.29
2900,0.8430224086681863,144.93,72.465
3000,0.8439748842275858,145.15,72.575
3100,0.8448820465945329,145.38,72.69
3200,0.8457600876380166,145.68,72.84
3300,0.8466050495386868,145.98,72.99
3400,0.8474321662036479,146.25,73.125
3500,0.8482283781933373,146.58,73.29
3600,0.8490005134559433,146.83,73.415
3700,0.84980587968472,147.19,73.595
3800,0.8505395392696447,147.6,73.8
3900,0.8512380179965529,147.9,73.95
4000,0.8519317483967197,148.05,74.025
4100,0.8526058171788243,148.28,74.14
4200,0.8532210437839857,148.51,74.255
4300,0.8538261853722569,148.81,74.405
4400,0.8544338848474875,149.02,74.51
4500,0.8550071900267084,149.22,74.61
4600,0.8555637879835042,149.44,74.72
4700,0.8561597940251525,149.63,74.815
4800,0.8566936874047612,149.86,74.93
4900,0.8572223738512715,150.09,75.045
5000,0.8577544310954462,150.28,75.14
5100,0.8582194408522963,150.38,75.19
5200,0.8587044585060665,150.58,75.29
5300,0.8591844999117701,150.78,75.39
5400,0.8596435859446682,151.01,75.505
5500,0.860092035766291,151.22,75.61
5600,0.8605433860973267,151.38,75.69
5700,0.8609776140033526,151.52,75.76
5800,0.8614200718556378,151.79,75.895
5900,0.8618257077703007,151.96,75.98
6000,0.862248112758208,152.11,76.055
6100,0.8626537625299797,152.23,76.115
6200,0.8630602917517963,152.44,76.22
6300,0.8634525842391697,152.53,76.265
6400,0.8638266936757535,152.65,76.325
6500,0.864204445162883,152.79,76.395
6600,0.8645639137384543,152.9,76.45
6700,0.8649396281746365,153.12,76.56
6800,0.8652909632384332,153.27,76.635
6900,0.8656472906432191,153.4,76.7
7000,0.8659712662573738,153.53,76.765
7100,0.8662941438412175,153.73,76.865
7200,0.866624889656959,154.0,77.0
7300,0.8669586134281627,154.12,77.06
7400,0.8672590886151714,154.19,77.095
7500,0.8675791548024886,154.34,77.17
7600,0.8678820986365636,154.49,77.245
7700,0.8681691611563903,154.64,77.32
7800,0.8684601404836612,154.74,77.37
7900,0.8687567597519548,154.86,77.43
8000,0.8690412371332121,154.96,77.48
8100,0.8693234226475595,155.07,77.535
8200,0.8695912515793203,155.17,77.585
8300,0.8698593794250122,155.21,77.605
8400,0.8701269779892777,155.31,77.655
8500,0.8704001192034525,155.37,77.685
8600,0.8706627364160946,155.53,77.765
8700,0.8709125787376695,155.61,77.805
8800,0.8711649920444777,155.7,77.85
8900,0.8714052182065996,155.77,77.885
9000,0.8716495468505484,155.89,77.945
9100,0.8718915569313147,155.95,77.975
9200,0.8721333656274455,156.04,78.02
9300,0.8723773913840113,156.17,78.085
9400,0.8726094788419811,156.33,78.165
9500,0.8728412968866816,156.46,78.23
9600,0.8730610482668052,156.5,78.25
9700,0.87328766981388,156.55,78.275
9800,0.8735069069481847,156.6,78.3
9900,0.8737265905548438,156.68,78.34
10000,0.8739423104024039,156.75,78.375
10100,0.8741546029225598,156.81,78.405
10200,0.8743742740720909,156.93,78.465
10300,0.8745852292182218,156.96,78.48
10400,0.8747915443844667,157.08,78.54
10500,0.8749872639121635,157.17,78.585
10600,0.8751846136870198,157.27,78.635
10700,0.8753805567033307,157.35,78.675
10800,0.8755719661258702,157.43,78.715
10900,0.8757636628763976,157.58,78.79
11000,0.8759499547794097,157.74,78.87
11100,0.876137687416539,157.8,78.9
11200,0.876321892083641,157.85,78.925
11300,0.8765061896534734,157.89,78.945
11400,0.8766983327881214,157.98,78.99
11500,0.8768737962062687,158.01,79.005
11600,0.8770447135512405,158.05,79.025
11700,0.8772129440136738,158.11,79.055
11800,0.8773880056842573,158.23,79.115
11900,0.8775603816557798,158.26,79.13
12000,0.8777237566688665,158.31,79.155
12100,0.8778805311429142,158.42,79.21
12200,0.8780421215201641,158.56,79.28
12300,0.8782132043616019,158.65,79.325
12400,0.878376024461026,158.73,79.365
12500,0.8785446209489812,158.83,79.415
12600,0.8787047422371828,158.89,79.445
12700,0.8788565042558355,158.95,79.475
12800,0.8790137799745144,159.04,79.52
12900,0.8791740755833356,159.1,79.55
13000,0.8793285217250242,159.19,79.595
13100,0.8794829178172189,159.26,79.63
13200,0.8796327427608682,159.33,79.665
13300,0.8797794425367457,159.36,79.68
13400,0.8799265511596314,159.38,79.69
13500,0.8800799774011905,159.5,79.75
13600,0.8802249173919122,159.54,79.77
13700,0.8803701986666345,159.6,79.8
13800,0.8805132647368474,159.65,79.825
13900,0.8806532051356598,159.72,79.86
