iteration,state,num_high_quality,high_quality_percent
5300,0.6867366596395235,66.69,33.345
5400,0.6881994164125045,67.11,33.555
5500,0.689637111288044,67.48,33.74
5600,0.691023903756107,67.83,33.915
5700,0.6924017754888773,68.23,34.115
5800,0.6937437341207726,68.59,34.295
5900,0.6950690546491413,68.84,34.42
6000,0.6963643743876581,69.15,34.575
6100,0.6976737693330535,69.53,34.765
6200,0.6989224205853312,69.8,34.9
6300,0.7001707684455737,70.08,35.04
6400,0.7013928355670248,70.37,35.185
6500,0.7026096183645464,70.64,35.32
6600,0.7038002879991042,71.08,35.54
6700,0.7049968367270485,71.31,35.655
6800,0.7061513710702354,71.52,35.76
6900,0.7073182061345236,71.85,35.925
7000,0.7084384734336946,72.11,36.055
7100,0.709527737284877,72.49,36.245
7200,0.7106117978767855,72.75,36.375
7300,0.7116836976897568,73.09,36.545
7400,0.7127606058595174,73.46,36.73
7500,0.7138067354188484,73.75,36.875
7600,0.714835223501571,74.1,37.05
7700,0.7158622071492983,74.43,37.215
7800,0.7168759962796549,74.78,37.39
7900,0.7178780047818283,75.13,37.565
8000,0.7188780276922632,75.43,37.715
8100,0.7198435976481536,75.7,37.85
8200,0.7208262652077032,76.03,38.015
8300,0.7217823307148491,76.36,38.18
8400,0.7227109220323787,76.6,38.3
8500,0.7236304371735929,76.82,38.41
8600,0.7245450464533563,77.19,38.595
8700,0.7254515853057432,77.46,38.73
8800,0.7263389422419958,77.68,38.84
8900,0.7272180180629771,77.9,38.95
9000,0.7281165047987896,78.17,39.085
9100,0.7289764113364136,78.5,39.25
9200,0.7298175564799304,78.76,39.38
9300,0.7306502842498517,79.01,39.505
9400,0.7314771603644442,79.29,39.645
9500,0.7323145077585962,79.51,39.755
9600,0.7331255384265948,79.78,39.89
9700,0.7339341441668255,80.03,40.015
9800,0.7347158025046855,80.23,40.115
9900,0.7355050854201112,80.48,40.24
10000,0.7362834003945449,80.74,40.37
10100,0.7370568134228975,80.96,40.48
10200,0.7378332684138512,81.3,40.65
10300,0.7385883723697982,81.61,40.805
10400,0.7393288979437047,81.9,40.95
10500,0.7400729585307557,82.17,41.085
10600,0.740806514122411,82.43,41.215
10700,0.7415269029580019,82.74,41.37
10800,0.7422335384739465,83.02,41.51
10900,0.7429352489866052,83.26,41.63
11000,0.7436487902399728,83.52,41.76
11100,0.7443407265627474,83.75,41.875
11200,0.7450339877212464,84.07,42.035
11300,0.7457138682662755,84.26,42.13
11400,0.7463870006415813,84.51,42.255
11500,0.74707132702217,84.71,42.355
11600,0.7477375876981495,84.92,42.46
11700,0.748396980037505,85.12,42.56
11800,0.7490469211785376,85.27,42.635
11900,0.749688947184988,85.46,42.73
12000,0.7503309826372437,85.62,42.81
12100,0.7509589662001441,85.78,42.89
12200,0.7515900510798335,86.03,43.015
12300,0.7522036563480664,86.23,43.115
12400,0.7528205520109792,86.41,43.205
12500,0.7534289049255816,86.57,43.285
12600,0.7540238123056853,86.81,43.405
12700,0.7546139638318149,86.97,43.485
12800,0.7552137127157833,87.25,43.625
12900,0.7558057648326841,87.44,43.72
13000,0.756390133016471,87.61,43.805
13100,0.7569748624142396,87.77,43.885
13200,0.7575443731466224,87.96,43.98
13300,0.758117874428575,88.15,44.075
13400,0.7586878336009609,88.32,44.16
13500,0.7592492839457715,88.54,44.27
13600,0.7597941664486271,88.7,44.35
13700,0.7603439921074119,88.9,44.45
13800,0.7608822697627707,89.05,44.525
13900,0.7614256406925982,89.31,44.655
14000,0.7619631836098714,89.54,44.77
14100,0.7625001461437114,89.76,44.88
14200,0.7630163970935783,89.99,44.995
14300,0.7635398945227919,90.09,45.045
14400,0.7640539251778609,90.29,45.145
14500,0.7645758227323589,90.4,45.2
14600,0.7650844809872949,90.54,45.27
14700,0.7655933767399107,90.69,45.345
14800,0.7660877805677189,90.92,45.46
14900,0.7665845852170383,91.07,45.535
15000,0.7670881412815348,91.24,45.62
15100,0.7675830677516666,91.37,45.685
15200,0.7680795294746986,91.57,45.785
15300,0.7685684601248894,91.72,45.86
15400,0.7690469762252843,91.88,45.94
15500,0.7695337983759778,92.01,46.005
15600,0.7700041965581731,92.13,46.065
15700,0.7704772961951838,92.25,46.125
15800,0.7709507149726241,92.44,46.22
15900,0.7714183379504779,92.65,46.325
16000,0.7718794421262035,92.83,46.415
16100,0.7723338707840274,92.99,46.495
16200,0.7727928317462726,93.11,46.555
16300,0.7732465813153666,93.27,46.635
16400,0.7736936633443032,93.44,46.72
16500,0.7741341765570482,93.53,46.765
16600,0.7745786466927637,93.68,46.84
16700,0.7750200454193451,93.78,46.89
16800,0.7754544939839324,94.01,47.005
16900,0.775889399882188,94.08,47.04
17000,0.7763143737293795,94.23,47.115
17100,0.7767456970435633,94.41,47.205
17200,0.7771625445717762,94.53,47.265
17300,0.7775859806413818,94.76,47.38
17400,0.7780010783607118,94.99,47.495
17500,0.7784192313929631,95.09,47.545
17600,0.7788398425733147,95.24,47.62
17700,0.7792618407802431,95.38,47.69
17800,0.7796637411667873,95.53,47.765
17900,0.7800686427708012,95.68,47.84
18000,0.7804647598199083,95.89,47.945
18100,0.7808669018364377,96.02,48.01
18200,0.7812633496997858,96.17,48.085
18300,0.7816571784980835,96.33,48.165
18400,0.7820503277374755,96.37,48.185
18500,0.7824330223424493,96.44,48.22
18600,0.7828255492939732,96.59,48.295
18700,0.7832146057504495,96.78,48.39
18800,0.7835981434288183,96.99,48.495
18900,0.7839781802171253,97.12,48.56
19000,0.7843597928966344,97.31,48.655
19100,0.7847323796713629,97.5,48.75
19200,0.7851069009729099,97.6,48.8
